coef,est,se,type,naive,coefNum
damageQuants,23.01305518448836,96.067005609926,Out,FALSE,3
damageQuants,-56.413311143885245,92.90664859519255,Out,FALSE,4
damageQuants,-219.5737377057002,360.3890486163681,Out,FALSE,5
damageQuants,564.3992411001476,182.2338053697478,Out,FALSE,6
NFIPQuants,-15.577331850235105,74.3589326058969,Out,FALSE,2
NFIPQuants,-15.758811233558918,84.52353719447426,Out,FALSE,3
NFIPQuants,-11.756005697384884,116.0290490523277,Out,FALSE,4
NFIPQuants,-290.4971933594208,284.94076533952534,Out,FALSE,5
NFIPQuants,224.70781351739706,171.11313947784933,Out,FALSE,6
popQuants,34.37477817070367,112.66174798899064,Out,FALSE,2
popQuants,54.84982267154546,136.28244097330324,Out,FALSE,3
popQuants,67.67701177321456,182.14500367569676,Out,FALSE,4
popQuants,18.16736013892087,219.4001879344358,Out,FALSE,5
densityQuants,-30.87712764929862,119.84398904842598,Out,FALSE,2
densityQuants,-11.76838387690915,144.08753505041454,Out,FALSE,3
densityQuants,8.226937309571904,161.30236491130867,Out,FALSE,4
densityQuants,159.91978004942936,206.88004168830298,Out,FALSE,5
pctBlackQuants,83.37813327255509,170.44895126196883,Out,FALSE,2
pctBlackQuants,89.92050940390229,245.06358703517583,Out,FALSE,3
pctBlackQuants,307.0700379741152,467.463537942072,Out,FALSE,4
pctBlackQuants,492.75161311291095,661.0525454626406,Out,FALSE,5
pctOldQuants,76.68226532273043,133.97828828746313,Out,FALSE,2
pctOldQuants,88.23897825753988,152.24815013516647,Out,FALSE,3
pctOldQuants,43.159698433421816,180.7679096882949,Out,FALSE,4
pctOldQuants,110.33402482547237,183.50286196366076,Out,FALSE,5
pctWhiteQuants,118.70374641229759,304.14144231089153,Out,FALSE,2
pctWhiteQuants,321.0637364913481,538.575778118992,Out,FALSE,3
pctWhiteQuants,345.89174202118795,523.8909519089844,Out,FALSE,4
pctWhiteQuants,362.544738404802,561.5998427998564,Out,FALSE,5
SVIQuants,-22.5136866159892,138.54417602427912,Out,FALSE,2
SVIQuants,-45.16057413669673,201.9212339000284,Out,FALSE,3
SVIQuants,-30.64989185136207,148.49797198172436,Out,FALSE,4
SVIQuants,80.08845213846794,167.49095452878697,Out,FALSE,5
damageQuants,7.928609112721836,52.993055696076944,In,FALSE,2
damageQuants,35.10051449695003,75.64992402055849,In,FALSE,3
damageQuants,-22.935504398226186,90.52793689828655,In,FALSE,4
damageQuants,3.5251180173892465,289.20279279398085,In,FALSE,5
damageQuants,311.0677654576765,177.08710616749735,In,FALSE,6
NFIPQuants,-20.02472725655811,63.536609732741816,In,FALSE,2
NFIPQuants,-12.434332071121414,67.83873895402589,In,FALSE,3
NFIPQuants,65.14084143853724,110.28038035431615,In,FALSE,4
NFIPQuants,-134.4586128680802,229.64425102655113,In,FALSE,5
NFIPQuants,-60.16104324380246,156.56472252145966,In,FALSE,6
popQuants,7.060757670660268,80.66515563094502,In,FALSE,2
popQuants,10.866953735833823,125.62762865190336,In,FALSE,3
popQuants,37.69848386480241,178.11593427756034,In,FALSE,4
popQuants,-129.6183921830997,203.68928886966327,In,FALSE,5
densityQuants,12.355070330298428,91.6283322554871,In,FALSE,2
densityQuants,4.462005780745503,113.72516046899209,In,FALSE,3
densityQuants,76.76742571408266,169.49662992414198,In,FALSE,4
densityQuants,198.59179803087537,212.18237112684685,In,FALSE,5
pctBlackQuants,-3.650586069535707,141.95708019242474,In,FALSE,2
pctBlackQuants,69.16964310360703,198.39921032308877,In,FALSE,3
pctBlackQuants,-54.458832530167385,389.7991737010137,In,FALSE,4
pctBlackQuants,265.61508739492723,557.1063723854152,In,FALSE,5
pctOldQuants,-0.1807649161336276,118.60328567620006,In,FALSE,2
pctOldQuants,-5.559366003291343,139.22778368072156,In,FALSE,3
pctOldQuants,-4.770506829327916,175.00828973224745,In,FALSE,4
pctOldQuants,72.00221635932586,162.20285311833692,In,FALSE,5
pctWhiteQuants,304.8728055755395,386.00116411584713,In,FALSE,2
pctWhiteQuants,213.1300036845309,561.6755201915339,In,FALSE,3
pctWhiteQuants,237.35455280838693,575.2594167703879,In,FALSE,4
pctWhiteQuants,192.74309560795936,529.3762676886853,In,FALSE,5
SVIQuants,6.71929577195808,118.21618113148838,In,FALSE,2
SVIQuants,34.68768779353675,205.63935367411764,In,FALSE,3
SVIQuants,12.204280431661001,136.7959509275202,In,FALSE,4
SVIQuants,77.67370876991332,140.70706831889802,In,FALSE,5
