coef,est,se,type,naive,coefNum
NFIPQuants,341.3854263791916,207.97780261808674,Out,FALSE,6
assistanceQuants,-29.39023799625144,193.9721617002464,Out,FALSE,2
assistanceQuants,-101.54158911835567,208.48442838394502,Out,FALSE,3
assistanceQuants,-395.5536780936503,422.5909581814659,Out,FALSE,4
assistanceQuants,361.62340820908025,445.88569461126315,Out,FALSE,5
assistanceQuants,1648.6136981851496,417.00670292927015,Out,FALSE,6
popQuants,-14.601897517547048,106.48905622846763,Out,FALSE,2
popQuants,5.390557565928718,122.9303358900595,Out,FALSE,3
popQuants,-9.702449049135923,112.85296239793014,Out,FALSE,4
popQuants,28.8314447317209,189.25211876303985,Out,FALSE,5
densityQuants,4.499942333336491,104.46625092472848,Out,FALSE,2
densityQuants,-1.834659540865252,114.09184671906262,Out,FALSE,3
densityQuants,-18.35123775943409,108.18633712438735,Out,FALSE,4
densityQuants,86.41913001954542,190.1995712164516,Out,FALSE,5
pctBlackQuants,38.25692601178469,103.05383225301662,Out,FALSE,2
pctBlackQuants,-20.909678836265293,146.9485749799108,Out,FALSE,3
pctBlackQuants,43.5495304589337,151.62684073301062,Out,FALSE,4
pctBlackQuants,85.0842006060671,129.51492578038486,Out,FALSE,5
pctOldQuants,85.10032458111752,145.856870590146,Out,FALSE,2
pctOldQuants,95.16578605355123,157.93768680192142,Out,FALSE,3
pctOldQuants,51.75287273540424,171.81635216164005,Out,FALSE,4
pctOldQuants,76.02074106356596,175.78044128198044,Out,FALSE,5
pctWhiteQuants,-75.69917347576667,169.70245595618582,Out,FALSE,2
pctWhiteQuants,-48.669383859983675,146.99867428478032,Out,FALSE,3
pctWhiteQuants,-40.360284568385744,129.5559021340861,Out,FALSE,4
pctWhiteQuants,-69.23712546600022,120.026009234878,Out,FALSE,5
SVIQuants,-15.390177963191121,115.10690316768978,Out,FALSE,2
SVIQuants,-40.533860750774956,207.24703306834417,Out,FALSE,3
SVIQuants,-31.335409372300578,124.21469058014331,Out,FALSE,4
SVIQuants,82.2724477526044,134.15233447910114,Out,FALSE,5
damageQuants,11.843658430922227,51.42636754825441,In,FALSE,2
damageQuants,40.946889629489355,69.68194997969037,In,FALSE,3
damageQuants,-34.52174776302446,99.11057749139738,In,FALSE,4
damageQuants,-16.433050622266855,286.08563617050714,In,FALSE,5
damageQuants,273.92043919235573,176.80812853669198,In,FALSE,6
NFIPQuants,-7.587598077181047,56.119614111631904,In,FALSE,2
NFIPQuants,16.0749807914446,66.35007807054076,In,FALSE,3
NFIPQuants,73.95073637528192,81.10790685528839,In,FALSE,4
NFIPQuants,-101.80301625905197,269.05405760013804,In,FALSE,5
NFIPQuants,51.438815462882644,166.86010180374726,In,FALSE,6
assistanceQuants,-52.06571990850922,158.0510421031016,In,FALSE,2
assistanceQuants,-51.99492654698525,159.90487765171994,In,FALSE,3
assistanceQuants,30.15588121690693,336.14001418684774,In,FALSE,4
assistanceQuants,-80.41187467065221,373.16424868544937,In,FALSE,5
assistanceQuants,675.8104475273938,351.12650806647616,In,FALSE,6
popQuants,3.8619095776033454,73.64412579297431,In,FALSE,2
popQuants,0.272658104166934,101.80628037303444,In,FALSE,3
popQuants,55.40464127402981,121.03074294024013,In,FALSE,4
popQuants,-31.73350299709961,144.83088940731503,In,FALSE,5
densityQuants,7.078727427282241,85.01951953723788,In,FALSE,2
densityQuants,-18.257775062920427,92.8287882223453,In,FALSE,3
densityQuants,8.279628273483079,106.85135501975635,In,FALSE,4
densityQuants,49.56409961040573,156.98296341237602,In,FALSE,5
pctBlackQuants,29.36603422599353,92.48789572518068,In,FALSE,2
pctBlackQuants,66.9329833024966,148.50103353318804,In,FALSE,3
pctBlackQuants,1.6095893027569794,131.74658023592235,In,FALSE,4
pctBlackQuants,60.47284650014402,123.32865229196511,In,FALSE,5
pctOldQuants,-19.067006680554467,114.14405700689152,In,FALSE,2
pctOldQuants,-32.78726381174673,156.73463918263224,In,FALSE,3
pctOldQuants,-30.197263726314755,179.45051198871948,In,FALSE,4
pctOldQuants,41.468112280823895,162.6533799512729,In,FALSE,5
pctWhiteQuants,44.90569891892711,165.0797134733362,In,FALSE,2
pctWhiteQuants,12.725208185124343,129.2767676109973,In,FALSE,3
pctWhiteQuants,14.699571452048925,110.1773957097531,In,FALSE,4
pctWhiteQuants,-16.963388076032437,129.93649943993276,In,FALSE,5
